Synset ID,ILI,POS,Lemmas,Definition,Examples,Hypernyms,Hyponyms,Other Relations
awn4-00713379-v,i25263,v,صمّم هندسياً,التصميم كمهندس,صمم مشروع إمدادات المياه هندسياً,"hypernym: [خطّط, دبّر, صمّم] ""وضع أو العمل على خطة لـ؛ الابتكار""",,
awn4-00752351-v,i25450,v,وَجَّهَ,وجه (هيئة المحلفين) بشأن القانون وتطبيقه ووزن الأدلة,,"hypernym: [أَعْطَى تَعْلِيمَات, وَجَّهَ] ""أعطى تعليمات أو توجيهات لمهمة ما""",,"domain_topic: [الفقه القانوني, القانون] ""مجموعة القواعد التي تفرضها السلطة"""
awn4-00949706-a,i5186,a,تمددي | توسعي,قادر أو يميل للتمدد أو يتميز بالتوسع,مواد تمددية | القوة التوسعية للنار,,,
awn4-00992560-n,i40582,n,نيران متقاطعة,نيران من نقطتين أو أكثر بحيث تتقاطع خطوط النار,,"hypernym: [إطلاق نار, رمي] ""فعل إطلاق الأسلحة أو المدفعية على عدو""",,
awn4-01047126-n,i40881,n,عبادة البشر,عبادة الكائنات البشرية,,"hypernym: [عبادة] ""نشاط التعبد""",,
awn4-01258522-n,i41986,n,صولميزاسيون,الغناء باستخدام مقاطع الصولفا للدلالة على نغمات سلم دو الكبير,,"hypernym: [غناء] ""فعل غناء الموسيقى الصوتية""",,
awn4-01536230-v,i29398,v,نَظَّفَ المَنْزِل,نظف ورتب المنزل,تنظف المنزل كل أسبوع,"hypernym: [رَتَّبَ, نَظَّمَ, هَنْدَمَ] ""وضع (الأشياء أو الأماكن) في نظام""","hyponym: [نَظَّفَ تَنْظِيفاً عَسْكَرِيّاً] ""نظف استعداداً للتفتيش"" | hyponym: [نَظَّفَ تَنْظِيفاً شَامِلاً] ""نظف المنزل بالكامل بدقة، غالباً ما يتم ذلك مرة واحدة في السنة""","similar: [أزال, نظف] ""أزال أثناء التنظيف"" | similar: [نَظَّفَ] ""جعله نظيفًا بإزالة الأوساخ أو القذارة أو المواد غير المرغوب فيها منه"""
awn4-01927976-v,i31335,v,مَشَى على أطراف أصابعه,المشي على أصابع القدمين,,"hypernym: [سَارَ, مَشَى] ""التحرك باستخدام القدمين؛ التقدم بخطوات""",,
awn4-01991122-n,i45806,n,رتبة الكريليات | كريليات,قشريات صغيرة غالباً ما تكون مضيئة؛ عنصر مهم في العوالق البحرية: الكريل,,"hypernym: [رتبة حيوانية] ""رتبة من الحيوانات""",,"mero_member: [كريل] ""قشريات عوالق تشبه الروبيان؛ مصدر رئيسي للغذاء للحيتان البالينية مثلاً"" | mero_member: [كريل المحيط الهادئ] ""غذاء لقنديل البحر"" | holo_member: [طويئفة ليينات الدرقة, ليينات الدرقة] ""أكبر طويئفة من القشريات تشمل معظم القشريات البحرية والمياه العذبة والبرية المعرو"""
awn4-02019747-n,i45971,n,جنس بورفيريو | سلطانة,دجاج الماء الأرجواني في العالم القديم (السلطانة),,"hypernym: [جنس طيور] ""جنس من الطيور""",,"holo_member: [الفصيلة التفلية] ""التفل؛ المرعة؛ دجاج الماء؛ الغرة"""
awn4-02075902-n,i46300,n,بقر البحر,أي من فصيلتين من الثدييات المائية العاشبة الكبيرة ذات ذيول مجدافية الشكل وأطراف أمامية تشبه الزعانف ولا أطراف خلفية,,"hypernym: [ثديي مائي] ""الحيتان والدلافين، خراف البحر والأطوم، الفظ، الفقمات""","hyponym: [خروف البحر] ""ثديي خيلاني من المياه الساحلية الاستوائية لأمريكا؛ ذيله المسطح مستدير"" | hyponym: [أطوم] ""ثديي خيلاني ذو أنياب يوجد من شرق أفريقيا إلى أستراليا؛ ذيله المسطح ثنائي الفصوص"" | hyponym: [بقر البحر ستيلر] ""ثديي خيلاني ضخم منقرض كان يوجد سابقاً بالقرب من الساحل الآسيوي لبحر بيرينغ""","holo_member: [خيلانيات, رتبة الخيلانيات] ""رتبة حيوانية تشمل: خروف البحر، والأطوم، وبقر البحر ستيلر"""
awn4-02126525-v,i32367,v,ظَمِئَ | عَطِشَ,شعر بالحاجة للشرب,,"hypernym: [آلَمَ, أَوْجَعَ] ""كان مصدراً للألم""",,
awn4-02297997-a,i12679,a,مقطعي,(للشعر) يحتوي على أسطر تعتمد على عدد المقاطع بدلاً من الترتيب الإيقاعي للنبرات أو الكميات,,,,
awn4-02730580-v,i35289,v,هاج (جنسياً),كان في حالة من الإثارة الجنسية؛ لذكور الثدييات,,"hypernym: [أحس, شعر] ""خاض تجربة حسية عاطفية أو كان في حالة ذهنية معينة""",,
awn4-02946774-a,i16728,a,داخل الرئة,كائن أو حادث داخل الرئة,,,,
awn4-03056613-n,i52059,n,غرفة سحابية | غرفة ويلسون السحابية,جهاز يكشف مسار الجسيمات عالية الطاقة التي تمر عبر بخار مفرط التشبع؛ حيث يؤين كل جسيم الجزيئات على طول مساره وتتكثف قطرات صغيرة عليها لتنتج مساراً مرئياً,,"hypernym: [كاشف الجسيمات] ""حجرة يمكن فيها جعل الجسيمات مرئية""",,
awn4-03207773-n,i52938,n,شمعة مغموسة,شمعة تُصنع عن طريق الغمس المتكرر في حوض من الشمع أو الشحم,,"hypernym: [شمعة] ""عصا من الشمع بداخلها فتيل في المنتصف""",,
awn4-03325680-n,i53592,n,سلع زينة | كماليات,بضائع تكون في الغالب للزينة,,"hypernym: [بِضَاعَة, سِلْعَة] ""مادّة خام تُباع بكمّيّات كبيرة، عادةً لشركات أخرى لأغراض التصنيع أو الإنتاج""",,"exemplifies: [جمع, صيغة الجمع] ""صيغة الكلمة المستخدمة للدلالة على أكثر من واحد"""
awn4-03477795-n,i54527,n,بدلة جمباز | زي رياضي,ملابس مخصصة للارتداء أثناء ممارسة تمارين الجمباز,,"hypernym: [ملابس رياضية] ""ملابس تلبس للرياضة أو للارتداء غير الرسمي""",,
awn4-03505701-n,i54693,n,سقيفة التبن | مخزن التبن,علية في حظيرة حيث يتم تخزين التبن,,"hypernym: [علية, غرفة السطح] ""طابق يتكون من مساحة مفتوحة في أعلى المنزل أسفل السقف مباشرة؛ تستخدم غالباً للتخز""",,"holo_part: [حظيرة, مخزن الحبوب] ""مبنى مزرعة ناءٍ لتخزين الحبوب أو علف الحيوانات وإيواء حيوانات المزرعة"""
awn4-03640743-n,i55493,n,صفيحة رقيقة,لوحة رقيقة,,"hypernym: [صفيحة, لوحة معدنية] ""ورقة من المعدن أو الخشب أو الزجاج أو البلاستيك""",,
awn4-04129779-n,i58367,n,كيس عطر | وسادة معطرة,كيس ناعم صغير يحتوي على مسحوق معطر؛ يستخدم لتعطير الأشياء في الدرج أو الصندوق,,"hypernym: [جوال, حقيبة, كيس] ""حاوية مرنة ذات فتحة واحدة""",,
awn4-04169660-n,i58611,n,قاعدة | مقر,جزء من آلة يدعم أو يوجه جزءاً آخر,,"hypernym: [جزء, شِق, قِسم] ""شيء أقل من الكل في مصنوع بشري""",,
awn4-04248522-n,i59085,n,خف منزلي | شبشب,حذاء منخفض يمكن ارتداؤه وخلعه بسهولة؛ يلبس عادة داخل المنزل,,"hypernym: [حذاء, نعل] ""غطاء لقدمي الإنسان""","hyponym: [جوارب للأطفال, خف صوفي] ""خف ناعم وصوفي (للأطفال الرضع)"" | hyponym: [خف بدون كعب, شبشب] ""خف ليس له جزء حول الكعب""",
awn4-04341243-n,i59667,n,فستان بلا حمالات,رداء نسائي يكشف الكتفين وليس له حمالات كتف,,"hypernym: [ثوب, فستان] ""رداء من قطعة واحدة للمرأة؛ يتكون من تنورة وصدرية""",,
awn4-04672900-n,i61583,n,سهو | غفلة,سمة نسيان أو تجاهل مسؤولياتك,,"hypernym: [انتباه, يقظة] ""سمة كون المرء ملاحظاً ومنتبهاً""",,
awn4-04758019-n,i61991,n,اخْتِلَاف | عَدَم تَمَاثُل,عدم التشابه المثبت بغياب الشبه,,"hypernym: [تَبَايُن, عَدَم تَشَابُه] ""صفة عدم التشابه""",,
awn4-04792423-n,i62153,n,اتِّسَاق,(منطق) سمة لنظام منطقي مكون بحيث لا تتناقض أي من القضايا المستنبطة من البديهيات مع بعضها البعض,,"hypernym: [مَنْطِقِيَّة] ""الاستدلال الصحيح والسليم""",,"domain_topic: [منطق] ""فرع الفلسفة الذي يحلل الاستدلال"""
awn4-05497292-n,i65791,n,قشرة حركية | منطقة حركية,المنطقة القشرية التي تؤثر على الحركات الحركية,,"hypernym: [منطقة قشرية] ""أي من المناطق المختلفة للقشرة المخية""",,
awn4-05514020-n,i65866,n,ضفيرة سباتية,ضفيرة من الأعصاب تحيط بالشريان السباتي الباطن,,"hypernym: [ضفيرة عصبية] ""شبكة من الأعصاب المتقاطعة""",,
awn4-05574850-n,i66165,n,إبهام,الإصبع الداخلي السميك والقصير للطرف الأمامي,,"hypernym: [إصبع, إصبع اليد] ""أي من الأعضاء الطرفية لليد (أحياناً باستثناء الإبهام)""",,"mero_part: [مبعدة إبهام اليد] ""العضلة المبعدة لإبهام اليد"" | mero_part: [ظفر الإبهام] ""ظفر إصبع الإبهام"""
awn4-05613253-n,i66367,n,مغزل,(بيولوجيا) ألياف دقيقة تظهر في انقسام الخلايا؛ تشع الألياف من قطبين وتلتقي عند خط الاستواء في المنتصف,تتوزع الكروموسومات بواسطة المغازل في الانقسام الفتيلي والانقسام المنصف,"hypernym: [ألياف, ليف] ""مادة رفيعة وممدودة بشكل كبير قابلة للغزل إلى خيوط""",,"domain_topic: [أحياء, علم الأحياء] ""العلم الذي يدرس الكائنات الحية"""
awn4-05743734-n,i67048,n,تصنيف متقاطع,التصنيف وفقاً لأكثر من سمة في نفس الوقت,تم التصنيف المتقاطع للحالات حسب العمر والجنس,"hypernym: [تصنيف, تويب, فرز] ""العملية المعرفية الأساسية للترتيب في فئات أو أصناف""",,
awn4-05820064-n,i67423,n,محور | مركز اهتمام,الشيء الذي يركز عليه الاهتمام والانتباه,قصصه جعلته محور الحفلة,"hypernym: [محط, موضوع] ""بؤرة الإدراك أو المشاعر""","hyponym: [مثار حديث] ""شيء مثير للاهتمام يحفز المحادثة"" | hyponym: [دائرة الاستهداف, مرمى النظر] ""مركز للاهتمام"" | hyponym: [قبلة الأنظار, محط الأنظار] ""شيء يجذب الانتباه والإعجاب بقوة"" | hyponym: [جاذب للبصر, ملفت للنظر] ""شخص أو شيء لافت يجذب الانتباه""",
awn4-06137475-n,i68810,n,هندسة كهربائية,فرع العلوم الهندسية الذي يدرس استخدامات الكهرباء ومعدات توليد الطاقة وتوزيعها والتحكم في الآلات والاتصالات,,"hypernym: [تكنولوجيا, علم الهندسة, هندسة] ""التخصص الذي يتعامل مع فن أو علم تطبيق المعرفة العلمية على المشاكل العملية""","hyponym: [اتصالات سلكية ولاسلكية] ""فرع الهندسة الكهربائية المعني بتكنولوجيا الاتصالات الإلكترونية عن بعد""","has_domain_topic: [مكرر إشارة] ""(إلكترونيات) جهاز إلكتروني يضخم الإشارة قبل إرسالها مرة أخرى"""
awn4-06273673-n,i69418,n,صحافة الفضائح | صحافة صفراء,الصحافة التي تنخرط في الإثارة (خاصة فيما يتعلق بالحياة الخاصة للشخصيات العامة),,"hypernym: [صحافة حرة] ""صحافة غير مقيدة أو خاضعة لرقابة الحكومة فيما يتعلق بالسياسة أو الأيديولوجية""",,"domain_region: [المملكة المتحدة, المملكة المتحدة لبريطانيا العظمى وأيرلندا الشمالية, بريطانيا, بريطانيا العظمى] ""ملكية في شمال غرب أوروبا تحتل معظم الجزر البريطانية؛ مقسمة إلى إنجلترا واسكتلندا"""
awn4-06427565-n,i70209,n,كراسة خط,كتاب يحتوي على نماذج لحسن الخط؛ يستخدم في تعليم الخط,,"hypernym: [كتاب] ""عمل مكتوب أو مؤلف تم نشره (مطبوع على صفحات مجلدة معاً)""",,
awn4-06949067-n,i73035,n,لغة بويي,فرع من لغات تاي، يُتحدث به في جنوب وجنوب غرب مقاطعة قويتشو ومقاطعة يونان في الصين,,"hypernym: [لغات تاي] ""أكثر عائلات لغات كاداي انتشارًا وشهرة""",,
awn4-07301993-n,i74984,n,متعة | وقت ممتع,تجربة ممتعة أو مثيرة للغاية,قضينا وقتاً ممتعاً في الحفلة | كان الاحتفال بعد المباراة متعة حقيقية,"hypernym: [تجربة, خبرة] ""حدث كما يتم إدراكه أو عيشه""",,
awn4-07601670-n,i76637,n,مارميت,حساء مطبوخ في قدر كبير,,"hypernym: [حساء, شوربة] ""طعام سائل خاصة من مرق اللحم أو السمك أو الخضار ويحتوي غالباً على قطع من الطعام ا""",,
awn4-07772475-n,i77820,n,شمام فارسي,ثمرة صنف من كرمة الشمام الشتوي؛ شمام أخضر كبير ذو لحم برتقالي,,"hypernym: [شمام شتوي] ""ثمرة كرمة الشمام الشتوي؛ شمام أخضر ذو لحم أخضر باهت إلى برتقالي يحفظ جيداً""",,
awn4-07820633-n,i78127,n,أرز أبيض,أرز تمت إزالة القشرة أو الطبقات البنية الخارجية منه,,"hypernym: [أرز] ""حبوب تستخدم كطعام سواء كانت غير مصقولة أو مصقولة في الغالب""",,
awn4-07855148-n,i78349,n,صلصة البابريكا | صلصة مجرية,صلصة فيلوتيه مع بصل مفروم مقلي وبابريكا وكريمة,,"hypernym: [صلصة, صوص] ""تابل أو تتبيلة أو طبقة علوية لذيذة تقدم كمرافق للطعام""",,
awn4-07909617-n,i78722,n,شامبانيا,نبيذ أبيض فوار يُنتج إما في منطقة شامبانيا أو يشبه ذلك المنتج هناك,,"hypernym: [نبيذ فوار] ""نبيذ ذو فوران غازي""",,
awn4-07979944-n,i79169,n,كدس قش صغير,كومة صغيرة مخروطية الشكل من القش تُترك في الحقل حتى تجف بما يكفي لنقلها,,"hypernym: [بيدر, كومة قش] ""كدس من القش""",,
awn4-07982431-n,i79179,n,الجمهور | جمهور القراء,مجموعة من الناس يتشاركون في اهتمام مشترك,جمهور القراء,"hypernym: [جسم, هيئة] ""مجموعة من الأشخاص مرتبطين برابط مشترك أو مهنة ويُنظر إليهم ككيان""",,
awn4-07999593-n,i79240,n,الأساطير الرومانية,أساطير الرومان القدماء,,"hypernym: [الأساطير الكلاسيكية] ""نظام الأساطير لليونانيين والرومان معاً؛ حيث تم اقتباس الكثير من الأساطير الرومان""",,"has_domain_topic: [إيبونا] ""(ربما من الأساطير الرومانية) إلهة الخيول والبغال والحمير عند الكلت"" | has_domain_topic: [مورس] ""(الأساطير الرومانية) إله الموت الروماني؛ نظير ثاناتوس"" | has_domain_topic: [المريخ, مارس] ""(الأساطير الرومانية) إله الحرب والزراعة الروماني؛ والد رومولوس وريموس؛ نظير آريس"" | has_domain_topic: [ريا سيلفيا] ""(الأساطير الرومانية) عذراء فيستال أصبحت أماً للتوأمين رومولوس وريموس من المريخ"" | has_domain_topic: [رومولوس] ""(الأساطير الرومانية) مؤسس روما؛ أرضعه ذئب مع أخيه التوأم ريموس بعد أن تخلى عنهما"" | has_domain_topic: [ريموس] ""(الأساطير الرومانية) الأخ التوأم لرومولوس"" | has_domain_topic: [ديانا] ""(الأساطير الرومانية) الإلهة العذراء للصيد والقمر؛ نظيرة أرتميس اليونانية"" | has_domain_topic: [مينيرفا] ""(الأساطير الرومانية) إلهة الحكمة؛ نظيرة أثينا اليونانية"" | has_domain_topic: [ديدو] ""(الأساطير الرومانية) أميرة صور التي كانت مؤسسة وملكة قرطاج؛ يروي فيرجيل انتحارها"" | has_domain_topic: [ساتورن] ""(الأساطير الرومانية) إله الزراعة والنباتات؛ نظير كرونوس اليوناني"" | has_domain_topic: [سيريس] ""(الأساطير الرومانية) إلهة الزراعة؛ نظيرة ديميتر اليونانية"" | has_domain_topic: [أمور, كيوبيد] ""(الأساطير الرومانية) إله الحب؛ نظير إيروس اليوناني"" | has_domain_topic: [سول] ""(الأساطير الرومانية) إله روماني قديم؛ تجسيد للشمس؛ نظير هيليوس اليوناني"" | has_domain_topic: [فولكان] ""(الأساطير الرومانية) إله النار وتشغيل المعادن؛ نظير هيفايستوس اليوناني"" | has_domain_topic: [عطارد, ميركوري] ""(الأساطير الرومانية) رسول جوبيتر وإله التجارة؛ نظير هيرميس اليوناني"" | has_domain_topic: [جانوس] ""(الأساطير الرومانية) إله المداخل والممرات الروماني؛ يُصور بوجهين على جانبين متقا"" | has_domain_topic: [جونو] ""(الأساطير الرومانية) ملكة الآلهة الأولمبية التي حمت الزواج؛ زوجة وأخت جوبيتر؛ نظ"" | has_domain_topic: [فيستا] ""(الأساطير الرومانية) إلهة الموقد وناره التي كانت العذارى الفيستال يعتنين بشعلتها"" | has_domain_topic: [فيكتوريا] ""(الأساطير الرومانية) إلهة النصر؛ نظيرة نايكي اليونانية"" | has_domain_topic: [فونوس] ""(الأساطير الرومانية) إله ريفي قديم؛ اعتبر لاحقاً نظيراً لبان اليوناني"" | has_domain_topic: [نبتون] ""(الأساطير الرومانية) إله البحر؛ نظير بوسيدون اليوناني"" | has_domain_topic: [بلوتو] ""(الأساطير الرومانية) إله العالم السفلي؛ نظير هاديس اليوناني"" | has_domain_topic: [لونا] ""(الأساطير الرومانية) إلهة القمر؛ نظيرة سيلين اليونانية"" | has_domain_topic: [أورورا] ""(الأساطير الرومانية) إلهة الفجر؛ نظيرة إيوس اليونانية"" | has_domain_topic: [تيرا, تيلوس] ""(الأساطير الرومانية) إلهة الأرض؛ حامية الزواج والخصوبة؛ تتماهى مع غايا اليونانية"" | has_domain_topic: [فورتونا] ""(الأساطير الرومانية) إلهة الحظ والبخت؛ نظيرة تايكي اليونانية"" | has_domain_topic: [جوبيتر, جوف] ""(الأساطير الرومانية) الإله الأعلى للرومان؛ نظير زيوس اليوناني"" | has_domain_topic: [عذراء فيستال] ""(الأساطير الرومانية) واحدة من الكاهنات العذارى المكرسات للإلهة الرومانية فيستا و"" | has_domain_topic: [أوبس] ""(الأساطير الرومانية) إلهة الوفرة والخصوبة؛ زوجة ساتورن؛ نظيرة ريا اليونانية وسيب"" | has_domain_topic: [سيلفانوس] ""(الأساطير الرومانية) إله الغابات والحقول والقطعان؛ بان هو نظيره اليوناني"" | has_domain_topic: [كاهن باخوس] ""(الأساطير الكلاسيكية) كاهن أو متعبد لباخوس"" | has_domain_topic: [كاهنة باخوس] ""(الأساطير الكلاسيكية) كاهنة أو متعبدة لباخوس"""
awn4-08265668-n,i80472,n,أوركسترا وترية,أوركسترا تعزف الآلات الوترية فقط,,"hypernym: [أوركسترا] ""منظمة موسيقية تتكون من مجموعة من العازفين بما في ذلك عازفي الوتريات""",,
awn4-08292764-n,i80632,n,المدرسة التاريخية,مدرسة للاقتصاديين والفلاسفة القانونيين الألمان في القرن التاسع عشر حاولت شرح الأنظمة الاقتصادية الحديثة بمصطلحات تطورية أو تاريخية,,"hypernym: [مدرسة] ""هيئة من الفنانين أو الكتاب أو المفكرين المبدعين تربطهم أسلوب مشابه أو معلمين متش""",,
awn4-09221452-n,i84975,n,المحيط الجنوبي | المحيط المتجمد الجنوبي,المياه الجنوبية المحيطة بالقارة القطبية الجنوبية,,"instance_hypernym: [محيط] ""مسطح مائي كبير يشكل جزءاً رئيسياً من الغلاف المائي""",,"holo_part: [الأطلسي, المحيط الأطلسي] ""ثاني أكبر محيط؛ يفصل أمريكا الشمالية والجنوبية في الغرب عن أوروبا وأفريقيا في ال"" | holo_part: [المحيط الهندي] ""ثالث أكبر محيط؛ تحده أفريقيا من الغرب، وآسيا من الشمال، وأستراليا من الشرق، ويند"" | holo_part: [المحيط الهادئ, الهادئ] ""أكبر محيط في العالم"" | holo_part: [أنتاركتيكا, المنطقة القطبية الجنوبية] ""المنطقة المحيطة بالقطب الجنوبي: القارة القطبية الجنوبية والمياه المحيطة بها"""
awn4-09365635-n,i85718,n,جبل لوغان,"قمة جبلية في سلسلة جبال سانت إلياس في جنوب غرب إقليم يوكون في كندا (ارتفاعها 19,850 قدم)",,"instance_hypernym: [قمة جبل] ""ذروة الجبل""",,"holo_part: [جبال سانت إلياس] ""سلسلة من الجبال بين ألاسكا وإقليم يوكون"" | holo_part: [إقليم يوكون, يوكون] ""إقليم في شمال غرب كندا؛ موقع حمى ذهب كلونديك في تسعينيات القرن التاسع عشر"""
awn4-09770222-n,i87983,n,يوغوسلافي,مواطن أو ساكن في يوغوسلافيا,,"hypernym: [أوروبي] ""مواطن أو ساكن في أوروبا""",,"holo_member: [اتحاد صربيا والجبل الأسود, صربيا والجبل الأسود] ""جمهورية جبلية في جنوب شرق أوروبا تطل على البحر الأدرياتيكي؛ تشكلت من اثنتين من ا"""
awn4-10031556-n,i89513,n,حاكم مطلق | ديكتاتور,حاكم غير مقيد بالقانون,,"hypernym: [حاكم, عاهل] ""شخص يحكم أو يأمر""","hyponym: [شوغون] ""ديكتاتور عسكري وراثي لليابان؛ حكم الشوغون اليابان حتى ثورة 1867-1868"" | hyponym: [دكتاتور, رجل قوي] ""شخصية سياسية ذكورية قوية تحكم بممارسة القوة أو العنف"" | hyponym: [طاغية, مستبد] ""ديكتاتور قاسي وقمعي"" | hyponym: [حاكمة قوية] ""شخصية سياسية قوية أنثى تحكم بممارسة القوة أو العنف"" | instance_hyponym: [بابا دوك, دوفالييه, فرانسوا دوفالييه] ""ديكتاتور هايتي القمعي (1907-1971)"" | instance_hyponym: [بيبي دوك, جان كلود دوفالييه, دوفالييه] ""ابن فرانسوا دوفالييه وخليفته كرئيس لهايتي؛ أطيح به بانتفاضة شعبية عام 1986 (ولد "" | instance_hyponym: [فرانسيسكو فرانكو, فرانكو] ""جنرال إسباني سيطرت جيوشه على إسبانيا عام 1939 وحكم كديكتاتور حتى وفاته (1892-197"" | instance_hyponym: [أدولف هتلر, الفوهرر, هتلر] ""الديكتاتور النازي الألماني خلال الحرب العالمية الثانية (1889-1945)"" | instance_hyponym: [الدوتشي, بينيتو موسوليني, موسوليني] ""الديكتاتور الفاشي الإيطالي (1883-1945)"" | instance_hyponym: [توجو, هيديكي توجو] ""ضابط جيش ياباني بدأ الهجوم الياباني على بيرل هاربر وتولى السيطرة الديكتاتورية عل""",
awn4-10381894-n,i91644,n,مُقاوِم سِلْمِيّ,مصلح يؤمن بالمقاومة السلبية (اللاعنف),,"hypernym: [إِصْلاحِيّ, مُصْلِح, مُناضِل] ""مجادل يدعو إلى الإصلاح""",,
awn4-10439776-n,i91977,n,مستعطف | ملتمس,شخص يطلب شيئاً بتواضع,مستعطف لرضاها,"hypernym: [طالب, متقدم] ""شخص يطلب أو يسعى للحصول على شيء مثل المساعدة أو الوظيفة أو القبول""","hyponym: [ملح في الطلب] ""ملتمس نشط ولحوح"" | hyponym: [طالب رهبنة] ""شخص يقدم طلباً خاصة للسعي للقبول في نظام ديني"" | hyponym: [جامع تبرعات, مستجدي] ""ملتمس يطلب مساهمات أو تجارة أو أصوات""",
awn4-10703158-n,i93486,n,منحل جنسياً,شخص يمارس الجنس بحرية وبشكل عشوائي,,"hypernym: [فاسق, ماجن] ""شخص منحل؛ عادة رجل غير منضبط أخلاقياً""",,"exemplifies: [اسْتِخْفَاف, انْتِقَاص, حَطّ مِن الْقَدْر] ""تواصل يقلل من شأن شخص أو شيء ما"""
awn4-10842803-n,i94324,n,أرمسترونغ | لويس أرمسترونغ,عازف بوق وقائد فرقة جاز أمريكي رائد (1900-1971),,"instance_hypernym: [موسيقي جاز] ""موسيقي يعزف أو يؤلف موسيقى الجاز"" | instance_hypernym: [عازف بوق, عازف كورنيت] ""موسيقي يعزف على البوق أو الكورنيت""",,
awn4-10936077-n,i94822,n,كرونين | هيوم كرونين,ممثل كندي لعب كثيراً أدوار الشخصيات مع زوجته جيسيكا تاندي (1911-2003),,"instance_hypernym: [مشخصاتي, ممثل] ""فنان يؤدي أدواراً مسرحية أو تمثيلية""",,
awn4-11125935-n,i95828,n,غوستاف كيرشهوف,فيزيائي ألماني كان رائداً مع بنسن في التحليل الطيفي وصاغ قانونين يحكمان الشبكات الكهربائية (1824-1887),,"instance_hypernym: [عالم فيزياء, فيزيائي] ""عالم مدرب في الفيزياء""",,
awn4-11186494-n,i96172,n,جيمس كليرك ماكسويل,فيزيائي اسكتلندي وحدت معادلاته الكهرباء والمغناطيسية وأدرك الطبيعة الكهرومغناطيسية للضوء (1831-1879),,"instance_hypernym: [عالم فيزياء, فيزيائي] ""عالم مدرب في الفيزياء""",,
awn4-11882769-n,i99605,n,سبرياغا | مخلب القطة,عناقيد وردية من الزهور المكتظة بكثافة على سيقان منبسطة تشبه وسائد أقدام القطط المقلوبة؛ تنمو في الغابات الصنوبرية في غرب أمريكا الشمالية,,"hypernym: [زهرة برية] ""نبات زهري بري أو غير مزروع""",,"holo_member: [سبراغيا] ""جنس صغير من الأعشاب المعمرة عادة لها جذور وتدية خشبية عميقة ورؤوس أزهار من خيميا"""
