Synset ID,POS,Arabic Lemmas,Definition,Examples,Linguist Rating (1-5),Comments
awn4-92429752-n,n,أثرية، عراقة,جودة أو حالة كون الشيء على نمط أو موضة العصور السابقة,قد نكتشف شيئاً مبجلاً في أثرية العمل,,
awn4-07601670-n,n,مارميت,حساء مطبوخ في قدر كبير,,,
awn4-11186494-n,n,جيمس كليرك ماكسويل,فيزيائي اسكتلندي وحدت معادلاته الكهرباء والمغناطيسية وأدرك الطبيعة الكهرومغناطيسية للضوء (1831-1879),,,
awn4-09221452-n,n,المحيط الجنوبي، المحيط المتجمد الجنوبي,المياه الجنوبية المحيطة بالقارة القطبية الجنوبية,,,
awn4-07820633-n,n,أرز أبيض,أرز تمت إزالة القشرة أو الطبقات البنية الخارجية منه,,,
awn4-02019747-n,n,جنس بورفيريو، سلطانة,دجاج الماء الأرجواني في العالم القديم (السلطانة),,,
awn4-00416323-v,v,استقر، هدأ,أصبح مستقراً أو راسخاً في مكان إقامته أو نمط حياته,استقر أخيراً,,
awn4-05514020-n,n,ضفيرة سباتية,ضفيرة من الأعصاب تحيط بالشريان السباتي الباطن,,,
awn4-01991122-n,n,رتبة الكريليات، كريليات,قشريات صغيرة غالباً ما تكون مضيئة؛ عنصر مهم في العوالق البحرية: الكريل,,,
awn4-07301993-n,n,متعة، وقت ممتع,تجربة ممتعة أو مثيرة للغاية,قضينا وقتاً ممتعاً في الحفلة | كان الاحتفال بعد المباراة متعة حقيقية,,
awn4-06949067-n,n,لغة بويي,فرع من لغات تاي، يُتحدث به في جنوب وجنوب غرب مقاطعة قويتشو ومقاطعة يونان في الصين,,,
awn4-15282364-n,n,شوط ثاني، فترة ثانية,القسم الثاني الذي ينقسم إليه لعب المباراة,,,
awn4-14389146-n,n,ضمور,انخفاض في حجم عضو ناتج عن مرض أو عدم الاستخدام,,,
awn4-02297997-a,a,مقطعي,(للشعر) يحتوي على أسطر تعتمد على عدد المقاطع بدلاً من الترتيب الإيقاعي للنبرات أو الكميات,,,
awn4-02075902-n,n,بقر البحر,أي من فصيلتين من الثدييات المائية العاشبة الكبيرة ذات ذيول مجدافية الشكل وأطراف أمامية تشبه الزعانف ولا أطراف خلفية,,,
awn4-02946774-a,a,داخل الرئة,كائن أو حادث داخل الرئة,,,
awn4-08265668-n,n,أوركسترا وترية,أوركسترا تعزف الآلات الوترية فقط,,,
awn4-01927976-v,v,مَشَى على أطراف أصابعه,المشي على أصابع القدمين,,,
awn4-06137475-n,n,هندسة كهربائية,فرع العلوم الهندسية الذي يدرس استخدامات الكهرباء ومعدات توليد الطاقة وتوزيعها والتحكم في الآلات والاتصالات,,,
awn4-14247234-n,n,السماق السام,التهاب الجلد الناتج عن ملامسة نبات السماق السام,,,
awn4-05497292-n,n,قشرة حركية، منطقة حركية,المنطقة القشرية التي تؤثر على الحركات الحركية,,,
awn4-00436657-r,r,بتطفل، بفضول,بطريقة فضولية متطفلة,سألت مستأجرتها المحتملة بتطفل: هل لديك صديق؟,,
awn4-03056613-n,n,غرفة سحابية، غرفة ويلسون السحابية,جهاز يكشف مسار الجسيمات عالية الطاقة التي تمر عبر بخار مفرط التشبع؛ حيث يؤين كل جسيم الجزيئات على طول مساره وتتكثف قطرات صغيرة عليها لتنتج مساراً مرئياً,,,
awn4-92424285-n,n,ملء جرة، ملء وعاء,الكمية التي يستوعبها وعاء شرب كبير (جرة),,,
awn4-00024272-v,v,أَحْيَا، أَنْعَشَ، نَشَّطَ,أعطى حياة جديدة أو طاقة لـ,حساء ساخن سينعشني | هذا سيجدد روحي | هذا العلاج أصلح صحتي,,
awn4-09770222-n,n,يوغوسلافي,مواطن أو ساكن في يوغوسلافيا,,,
awn4-00072366-n,n,خطأ مزدوج,(تنس) خطآن متتاليان في الإرسال مما يؤدي إلى خسارة النقطة,,,
awn4-07772475-n,n,شمام فارسي,ثمرة صنف من كرمة الشمام الشتوي؛ شمام أخضر كبير ذو لحم برتقالي,,,
awn4-00108459-a,a,بِنَائِيّ,يتميز بـ أو يعزز الأيض البنائي,يتناول بعض الرياضيين المنشطات البنائية لزيادة حجم العضلات مؤقتاً,,
awn4-10381894-n,n,مُقاوِم سِلْمِيّ,مصلح يؤمن بالمقاومة السلبية (اللاعنف),,,
awn4-00752351-v,v,وَجَّهَ,وجه (هيئة المحلفين) بشأن القانون وتطبيقه ووزن الأدلة,,,
awn4-00618080-a,a,غير مقنع، واهٍ,ليس مقنعاً,حجة واهية | غير مقنع مثل ابتسامة مصطنعة,,
awn4-03207773-n,n,شمعة مغموسة,شمعة تُصنع عن طريق الغمس المتكرر في حوض من الشمع أو الشحم,,,
awn4-07982431-n,n,الجمهور، جمهور القراء,مجموعة من الناس يتشاركون في اهتمام مشترك,جمهور القراء,,
awn4-00317632-n,n,جسر برلين الجوي,جسر جوي في عام 1948 زود مواطني غرب برلين بالطعام والوقود عندما أغلق الروس الوصول البري إلى برلين,,,
awn4-08292764-n,n,المدرسة التاريخية,مدرسة للاقتصاديين والفلاسفة القانونيين الألمان في القرن التاسع عشر حاولت شرح الأنظمة الاقتصادية الحديثة بمصطلحات تطورية أو تاريخية,,,
awn4-12571293-n,n,قرن المخمل,قرون نبات المخمل أو الشعيرات اللاسعة التي تغطيها؛ تستخدم كطارد للديدان عند مزجها بالعسل,,,
awn4-00949706-a,a,تمددي، توسعي,قادر أو يميل للتمدد أو يتميز بالتوسع,مواد تمددية | القوة التوسعية للنار,,
awn4-03477795-n,n,بدلة جمباز، زي رياضي,ملابس مخصصة للارتداء أثناء ممارسة تمارين الجمباز,,,
awn4-10703158-n,n,منحل جنسياً,شخص يمارس الجنس بحرية وبشكل عشوائي,,,
awn4-14449257-n,n,شباب، يفاعة,النضج المبكر؛ حالة كونه شاباً أو غير ناضج أو عديم الخبرة,,,
awn4-00992560-n,n,نيران متقاطعة,نيران من نقطتين أو أكثر بحيث تتقاطع خطوط النار,,,
awn4-01047126-n,n,عبادة البشر,عبادة الكائنات البشرية,,,
awn4-14542810-n,n,انخفاض السكان، تفريغ سكاني,حالة انخفاض أعداد السكان (أو عدم وجود سكان على الإطلاق),,,
awn4-12902673-n,n,كولينسيا صغيرة الأزهار، ماري زرقاء العيون الصغيرة,نبات غربي صغير واسع التفرع بأزهار زرقاء وبيضاء دقيقة؛ كولومبيا البريطانية إلى أونتاريو وجنوباً إلى كاليفورنيا وكولورادو,,,
awn4-13703247-n,n,وحدة نقدية تشيكية,الوحدة النقدية في جمهورية التشيك,,,
awn4-88285072-n,n,هندي أحمر,فرد من عرق الأشخاص الذين عاشوا في أمريكا عند وصول الأوروبيين,,,
awn4-04672900-n,n,سهو، غفلة,سمة نسيان أو تجاهل مسؤولياتك,,,
awn4-11125935-n,n,غوستاف كيرشهوف,فيزيائي ألماني كان رائداً مع بنسن في التحليل الطيفي وصاغ قانونين يحكمان الشبكات الكهربائية (1824-1887),,,
awn4-12696637-n,n,صريمة الجدي اليابانية، عسلة يابانية,عسلة آسيوية دائمة الخضرة زاحفة بأوراق نصف دائمة الخضرة وزهور بيضاء عطرة تتحول إلى صفراء مع تقدم العمر؛ أصبحت عشباً ضاراً في بعض المناطق,,,
awn4-07909617-n,n,شامبانيا,نبيذ أبيض فوار يُنتج إما في منطقة شامبانيا أو يشبه ذلك المنتج هناك,,,
awn4-04248522-n,n,خف منزلي، شبشب,حذاء منخفض يمكن ارتداؤه وخلعه بسهولة؛ يلبس عادة داخل المنزل,,,
awn4-05743734-n,n,تصنيف متقاطع,التصنيف وفقاً لأكثر من سمة في نفس الوقت,تم التصنيف المتقاطع للحالات حسب العمر والجنس,,
awn4-15096070-n,n,بروكونفيرتين,عامل تخثر يتكون في الكلى تحت تأثير فيتامين ك,,,
awn4-03325680-n,n,سلع زينة، كماليات,بضائع تكون في الغالب للزينة,,,
awn4-10842803-n,n,أرمسترونغ، لويس أرمسترونغ,عازف بوق وقائد فرقة جاز أمريكي رائد (1900-1971),,,
awn4-03505701-n,n,سقيفة التبن، مخزن التبن,علية في حظيرة حيث يتم تخزين التبن,,,
awn4-00509752-r,r,بلا نغم، بنشاز,بأسلوب خالي من النغم,صفر بلا نغم,,
awn4-00202722-a,a,بِلَا ظَهْر، مَكْشُوف الظَّهْر,يفتقر إلى ظهر,البراز (الكرسي) هو مقعد بلا ظهر وبلا ذراعين,,
awn4-13653306-n,n,زيتابت,وحدة معلومات تساوي 1000 إكسابت أو 10 أس 21 بت,,,
awn4-12174258-n,n,كستناء الماء، كستناء الماء الصينية,سعد صيني ينتج درنات صالحة للأكل على شكل بصيلة,,,
awn4-14013549-n,n,براءة، طهارة، عفة,حالة الخلو من الخطيئة أو الخطأ الأخلاقي؛ الافتقار إلى معرفة الشر,,,
awn4-10936077-n,n,كرونين، هيوم كرونين,ممثل كندي لعب كثيراً أدوار الشخصيات مع زوجته جيسيكا تاندي (1911-2003),,,
awn4-00094281-r,r,بؤرياً,بطريقة بؤرية,تم تسلل الطبقة تحت المخاطية بؤرياً,,
awn4-06273673-n,n,صحافة الفضائح، صحافة صفراء,الصحافة التي تنخرط في الإثارة (خاصة فيما يتعلق بالحياة الخاصة للشخصيات العامة),,,
awn4-84694766-n,n,بائعة فحم,امرأة تقوم بتوصيل الفحم,,,
awn4-00713379-v,v,صمّم هندسياً,التصميم كمهندس,صمم مشروع إمدادات المياه هندسياً,,
awn4-13058345-n,n,موريل كاليفورنيا الكاذب,جيروميترا بجزء خصب بني منتفخ وساق مخدد سميك؛ يوجد تحت الصنوبريات في كاليفورنيا,,,
awn4-05613253-n,n,مغزل,(بيولوجيا) ألياف دقيقة تظهر في انقسام الخلايا؛ تشع الألياف من قطبين وتلتقي عند خط الاستواء في المنتصف,تتوزع الكروموسومات بواسطة المغازل في الانقسام الفتيلي والانقسام المنصف,,
awn4-05820064-n,n,محور، مركز اهتمام,الشيء الذي يركز عليه الاهتمام والانتباه,قصصه جعلته محور الحفلة,,
awn4-13865600-n,n,تَبَادُلِيَّة,تبادل المشاعر,كانت تبادلية عاطفتهم واضحة,,
awn4-15013308-n,n,حناء,صبغة بنية محمرة تستخدم خاصة على الشعر,,,
awn4-01258522-n,n,صولميزاسيون,الغناء باستخدام مقاطع الصولفا للدلالة على نغمات سلم دو الكبير,,,
awn4-14742523-n,n,معدن القدور,سبيكة من النحاس والرصاص تستخدم بشكل خاص لصنع القدور الكبيرة,,,
awn4-01536230-v,v,نَظَّفَ المَنْزِل,نظف ورتب المنزل,تنظف المنزل كل أسبوع,,
